Drug,Country,Total_Observed,Total_Predicted
Cefepime_I,Panama,174,174.00000000000028
Cefepime_I,Philippines,707,706.999999999998
Cefepime_I,Poland,631,630.9999999999998
Cefepime_I,Portugal,937,936.999999999998
Cefepime_I,Romania,501,500.99999999999983
Cefepime_I,Russia,1820,1820.0000000000045
Cefepime_I,Saudi Arabia,110,109.99999999999977
Cefepime_I,Serbia,63,63.00000000000012
Cefepime_I,Singapore,67,66.99999999999982
Cefepime_I,South Africa,637,636.9999999999993
Cefepime_I,Spain,1757,1756.9999999999975
Cefepime_I,Sweden,56,55.99999999999986
Cefepime_I,Switzerland,69,69.00000000000018
Cefepime_I,Taiwan,399,398.99999999999943
Cefepime_I,Thailand,781,780.9999999999995
Cefepime_I,Turkey,824,823.9999999999977
Cefepime_I,Ukraine,140,139.99999999999974
Cefepime_I,United Kingdom,301,300.99999999999915
Cefepime_I,United States,2843,2842.9999999999895
Cefepime_I,Venezuela,602,601.9999999999983
Cefepime_I,Vietnam,54,54.00000000000003
Ceftazidime_I,Argentina,1051,1050.9999999999964
Ceftazidime_I,Australia,317,317.0000000000001
Ceftazidime_I,Austria,178,177.99999999999872
Ceftazidime_I,Belgium,1166,1166
Ceftazidime_I,Brazil,947,947.000000000001
Ceftazidime_I,Canada,439,438.9999999999988
Ceftazidime_I,Chile,1059,1058.9999999999973
Ceftazidime_I,China,2508,2507.9999999999955
Ceftazidime_I,Colombia,719,719
Ceftazidime_I,Costa Rica,48,48.00000000000081
Ceftazidime_I,Croatia,596,596.0000000000011
Ceftazidime_I,Czech Republic,849,848.9999999999995
Ceftazidime_I,Denmark,149,149.00000000000028
Ceftazidime_I,Dominican Republic,31,31.00000000000005
Ceftazidime_I,Finland,18,18.000000000000078
Ceftazidime_I,France,2047,2047.0000000000023
Ceftazidime_I,Germany,1536,1536.0000000000018
Ceftazidime_I,Greece,1313,1313.0000000000025
Ceftazidime_I,Guatemala,338,338.0000000000011
Ceftazidime_I,Hong Kong,124,124.00000000000068
Ceftazidime_I,Hungary,785,784.9999999999999
