Drug,Species,Total_Observed,Total_Predicted
Ceftriaxone_I,Klebsiella planticola,2,1.9999999999999591
Ceftriaxone_I,Klebsiella pneumoniae,8496,8495.999999999978
Ceftriaxone_I,Klebsiella variicola,44,44.00000000000006
Ceftriaxone_I,"Klebsiella, non-speciated",4,4.0000000000000115
Ceftriaxone_I,Kluyvera ascorbata,1,0.9999999999999896
Ceftriaxone_I,Lelliottia amnigena,11,11.000000000000025
Ceftriaxone_I,Morganella morganii,79,79.00000000000001
Ceftriaxone_I,Pluralibacter gergoviae,7,7.000000000000029
Ceftriaxone_I,Proteus hauseri,40,40.000000000000036
Ceftriaxone_I,Proteus mirabilis,226,225.99999999999957
Ceftriaxone_I,Proteus penneri,8,8.000000000000023
Ceftriaxone_I,Proteus vulgaris,100,100.00000000000011
Ceftriaxone_I,Providencia alcalifaciens,1,1.0000000000000038
Ceftriaxone_I,Providencia rettgeri,31,31.00000000000005
Ceftriaxone_I,Providencia stuartii,77,77.00000000000003
Ceftriaxone_I,"Providencia, non-speciated",2,2.0000000000000187
Ceftriaxone_I,Raoultella ornithinolytica,6,5.9999999999999964
Ceftriaxone_I,Raoultella planticola,1,1.0000000000000149
Ceftriaxone_I,Serratia ficaria,8,8.000000000000044
Ceftriaxone_I,Serratia fonticola,6,5.999999999999975
Ceftriaxone_I,Serratia liquefaciens,10,9.999999999999996
Ceftriaxone_I,Serratia marcescens,1007,1006.9999999999987
Ceftriaxone_I,Serratia odorifera,2,1.9999999999999885
Ceftriaxone_I,Serratia ureilytica,10,10.000000000000009
Ceftriaxone_I,"Serratia, non-speciated",9,9.000000000000124
Ceftriaxone_I,Streptococcus anginosus,3,3.0000000000000093
Ceftriaxone_I,Streptococcus oralis,6,6.000000000000021
Ceftriaxone_I,Streptococcus pneumoniae,342,342.00000000000074
Clindamycin_I,Anaerococcus hydrogenalis,3,3.0000000000001315
Clindamycin_I,Anaerococcus vaginalis,4,3.9999999999999956
Clindamycin_I,Bacteroides caccae,11,10.999999999999462
Clindamycin_I,Bacteroides cellulosilyticus,1,0.9999999999999178
Clindamycin_I,Bacteroides eggerthii,2,1.9999999999999847
Clindamycin_I,Bacteroides faecis,6,5.999999999999989
Clindamycin_I,Bacteroides fragilis,226,225.99999999999702
Clindamycin_I,Bacteroides intestinalis,5,5.000000000000008
Clindamycin_I,Bacteroides massiliensis,1,1.000000000000013
Clindamycin_I,Bacteroides nordii,5,4.999999999999998
Clindamycin_I,Bacteroides ovatus,114,114.00000000000003
Clindamycin_I,Bacteroides pyogenes,2,1.9999999999998723
Clindamycin_I,Bacteroides salersyae,5,5.000000000000034
Clindamycin_I,Bacteroides stercosis,4,3.9999999999999414
Clindamycin_I,Bacteroides thetaiotaomicron,146,146.00000000000063
Clindamycin_I,Bacteroides uniformis,42,41.99999999999967
Clindamycin_I,Bacteroides vulgatus,91,91
Clindamycin_I,Campylobacter ureolyticus,1,0.9999999999999927
Clindamycin_I,Clostridioides difficile,197,196.99999999999875
Clindamycin_I,Clostridium aldenense,2,1.999999999999992
Clindamycin_I,Clostridium bifermentans,1,0.9999999999999943
Clindamycin_I,Clostridium bolteae,2,1.9999999999999942
Clindamycin_I,Clostridium butyricum,1,0.9999999999999856
Clindamycin_I,Clostridium celerecrescens,6,5.999999999999891
Clindamycin_I,Clostridium citroniae,1,0.9999999999999906
Clindamycin_I,Clostridium clostridiiformis,2,1.9999999999999947
Clindamycin_I,Clostridium cochlearium,3,3.000000000000147
Clindamycin_I,Clostridium hathewayi,7,7.000000000000016
Clindamycin_I,Clostridium innocuum,15,15.000000000000018
Clindamycin_I,Clostridium paraputrificum,10,10.000000000000062
Clindamycin_I,Clostridium perfringens,53,53.00000000000008
Clindamycin_I,Clostridium ramosum,16,15.999999999999787
Clindamycin_I,Clostridium scindens,1,0.9999999999999598
Clindamycin_I,Clostridium sordellii,3,2.9999999999999893
Clindamycin_I,Clostridium sphenoides,3,3.0000000000000027
Clindamycin_I,Clostridium sporogenes,27,27.000000000000178
Clindamycin_I,Clostridium spp,1,0.9999999999999905
